"","LandUse","date","ndvi_mean","Stot_per_LU","ndvi_mean_interp"
"1","Culture",2015-01-01,NA,NA,0.497860537485242
"2","Culture",2015-01-02,NA,NA,0.497860537485242
"3","Culture",2015-01-03,NA,NA,0.497860537485242
"4","Culture",2015-01-04,NA,NA,0.497860537485242
"5","Culture",2015-01-05,NA,NA,0.497860537485242
"6","Culture",2015-01-06,NA,NA,0.497860537485242
"7","Culture",2015-01-07,NA,NA,0.497860537485242
"8","Culture",2015-01-08,NA,NA,0.497860537485242
"9","Culture",2015-01-09,NA,NA,0.497860537485242
"10","Culture",2015-01-10,NA,NA,0.497860537485242
"11","Culture",2015-01-11,NA,NA,0.497860537485242
"12","Culture",2015-01-12,NA,NA,0.497860537485242
"13","Culture",2015-01-13,NA,NA,0.497860537485242
"14","Culture",2015-01-14,NA,NA,0.497860537485242
"15","Culture",2015-01-15,NA,NA,0.497860537485242
"16","Culture",2015-01-16,NA,NA,0.497860537485242
"17","Culture",2015-01-17,NA,NA,0.497860537485242
"18","Culture",2015-01-18,0.497860537485242,928094.774,0.497860537485242
"19","Culture",2015-01-19,NA,NA,0.465969500597747
"20","Culture",2015-01-20,NA,NA,0.434078463710252
"21","Culture",2015-01-21,NA,NA,0.402187426822758
"22","Culture",2015-01-22,NA,NA,0.370296389935263
"23","Culture",2015-01-23,NA,NA,0.338405353047768
"24","Culture",2015-01-24,NA,NA,0.306514316160273
"25","Culture",2015-01-25,NA,NA,0.274623279272778
"26","Culture",2015-01-26,NA,NA,0.242732242385283
"27","Culture",2015-01-27,NA,NA,0.210841205497788
"28","Culture",2015-01-28,NA,NA,0.178950168610293
"29","Culture",2015-01-29,NA,NA,0.147059131722798
"30","Culture",2015-01-30,NA,NA,0.115168094835304
"31","Culture",2015-01-31,NA,NA,0.0832770579478087
"32","Culture",2015-02-01,NA,NA,0.0513860210603138
"33","Culture",2015-02-02,NA,NA,0.0194949841728189
"34","Culture",2015-02-03,-0.0123960527146761,928094.774,-0.0123960527146761
"35","Culture",2015-02-04,NA,NA,0.0497416404427581
"36","Culture",2015-02-05,NA,NA,0.111879333600192
"37","Culture",2015-02-06,NA,NA,0.174017026757626
"38","Culture",2015-02-07,NA,NA,0.236154719915061
"39","Culture",2015-02-08,NA,NA,0.298292413072495
"40","Culture",2015-02-09,NA,NA,0.360430106229929
"41","Culture",2015-02-10,NA,NA,0.422567799387363
"42","Culture",2015-02-11,NA,NA,0.484705492544797
"43","Culture",2015-02-12,0.546843185702231,928094.774,0.546843185702231
"44","Culture",2015-02-13,NA,NA,0.54466420594978
"45","Culture",2015-02-14,NA,NA,0.542485226197329
"46","Culture",2015-02-15,NA,NA,0.540306246444878
"47","Culture",2015-02-16,NA,NA,0.538127266692427
"48","Culture",2015-02-17,NA,NA,0.535948286939976
"49","Culture",2015-02-18,NA,NA,0.533769307187524
"50","Culture",2015-02-19,NA,NA,0.531590327435073
"51","Culture",2015-02-20,NA,NA,0.529411347682622
"52","Culture",2015-02-21,NA,NA,0.527232367930171
"53","Culture",2015-02-22,NA,NA,0.52505338817772
"54","Culture",2015-02-23,NA,NA,0.522874408425268
"55","Culture",2015-02-24,NA,NA,0.520695428672817
"56","Culture",2015-02-25,NA,NA,0.518516448920366
"57","Culture",2015-02-26,NA,NA,0.516337469167915
"58","Culture",2015-02-27,NA,NA,0.514158489415464
"59","Culture",2015-02-28,0.511979509663012,928094.774,0.511979509663012
"60","Culture",2015-03-01,NA,NA,0.515187987487016
"61","Culture",2015-03-02,NA,NA,0.518396465311019
"62","Culture",2015-03-03,NA,NA,0.521604943135022
"63","Culture",2015-03-04,NA,NA,0.524813420959025
"64","Culture",2015-03-05,NA,NA,0.528021898783029
"65","Culture",2015-03-06,NA,NA,0.531230376607032
"66","Culture",2015-03-07,NA,NA,0.534438854431035
"67","Culture",2015-03-08,NA,NA,0.537647332255038
"68","Culture",2015-03-09,NA,NA,0.540855810079042
"69","Culture",2015-03-10,NA,NA,0.544064287903045
"70","Culture",2015-03-11,NA,NA,0.547272765727048
"71","Culture",2015-03-12,NA,NA,0.550481243551051
"72","Culture",2015-03-13,NA,NA,0.553689721375055
"73","Culture",2015-03-14,NA,NA,0.556898199199058
"74","Culture",2015-03-15,NA,NA,0.560106677023061
"75","Culture",2015-03-16,NA,NA,0.563315154847064
"76","Culture",2015-03-17,NA,NA,0.566523632671068
"77","Culture",2015-03-18,NA,NA,0.569732110495071
"78","Culture",2015-03-19,NA,NA,0.572940588319074
"79","Culture",2015-03-20,NA,NA,0.576149066143077
"80","Culture",2015-03-21,NA,NA,0.579357543967081
"81","Culture",2015-03-22,NA,NA,0.582566021791084
"82","Culture",2015-03-23,NA,NA,0.585774499615087
"83","Culture",2015-03-24,NA,NA,0.58898297743909
"84","Culture",2015-03-25,NA,NA,0.592191455263094
"85","Culture",2015-03-26,NA,NA,0.595399933087097
"86","Culture",2015-03-27,NA,NA,0.5986084109111
"87","Culture",2015-03-28,NA,NA,0.601816888735103
"88","Culture",2015-03-29,NA,NA,0.605025366559107
"89","Culture",2015-03-30,NA,NA,0.60823384438311
"90","Culture",2015-03-31,NA,NA,0.611442322207113
"91","Culture",2015-04-01,NA,NA,0.614650800031116
"92","Culture",2015-04-02,NA,NA,0.61785927785512
"93","Culture",2015-04-03,NA,NA,0.621067755679123
"94","Culture",2015-04-04,NA,NA,0.624276233503126
"95","Culture",2015-04-05,NA,NA,0.62748471132713
"96","Culture",2015-04-06,NA,NA,0.630693189151133
"97","Culture",2015-04-07,NA,NA,0.633901666975136
"98","Culture",2015-04-08,0.637110144799139,928094.774,0.637110144799139
"99","Culture",2015-04-09,NA,NA,0.644471895481033
"100","Culture",2015-04-10,NA,NA,0.651833646162928
"101","Culture",2015-04-11,NA,NA,0.659195396844822
"102","Culture",2015-04-12,NA,NA,0.666557147526716
"103","Culture",2015-04-13,NA,NA,0.67391889820861
"104","Culture",2015-04-14,NA,NA,0.681280648890505
"105","Culture",2015-04-15,NA,NA,0.688642399572399
"106","Culture",2015-04-16,NA,NA,0.696004150254293
"107","Culture",2015-04-17,NA,NA,0.703365900936188
"108","Culture",2015-04-18,NA,NA,0.710727651618082
"109","Culture",2015-04-19,NA,NA,0.718089402299976
"110","Culture",2015-04-20,NA,NA,0.72545115298187
"111","Culture",2015-04-21,NA,NA,0.732812903663765
"112","Culture",2015-04-22,NA,NA,0.740174654345659
"113","Culture",2015-04-23,NA,NA,0.747536405027553
"114","Culture",2015-04-24,0.754898155709447,928094.774,0.754898155709447
"115","Culture",2015-04-25,NA,NA,0.75554323978747
"116","Culture",2015-04-26,NA,NA,0.756188323865493
"117","Culture",2015-04-27,NA,NA,0.756833407943516
"118","Culture",2015-04-28,NA,NA,0.757478492021539
"119","Culture",2015-04-29,NA,NA,0.758123576099562
"120","Culture",2015-04-30,NA,NA,0.758768660177585
"121","Culture",2015-05-01,NA,NA,0.759413744255608
"122","Culture",2015-05-02,NA,NA,0.760058828333631
"123","Culture",2015-05-03,NA,NA,0.760703912411653
"124","Culture",2015-05-04,NA,NA,0.761348996489676
"125","Culture",2015-05-05,NA,NA,0.761994080567699
"126","Culture",2015-05-06,NA,NA,0.762639164645722
"127","Culture",2015-05-07,NA,NA,0.763284248723745
"128","Culture",2015-05-08,NA,NA,0.763929332801768
"129","Culture",2015-05-09,NA,NA,0.764574416879791
"130","Culture",2015-05-10,0.765219500957814,928094.774,0.765219500957814
"131","Culture",2015-05-11,NA,NA,0.764064952169186
"132","Culture",2015-05-12,NA,NA,0.762910403380559
"133","Culture",2015-05-13,NA,NA,0.761755854591931
"134","Culture",2015-05-14,NA,NA,0.760601305803304
"135","Culture",2015-05-15,NA,NA,0.759446757014676
"136","Culture",2015-05-16,NA,NA,0.758292208226049
"137","Culture",2015-05-17,NA,NA,0.757137659437421
"138","Culture",2015-05-18,NA,NA,0.755983110648794
"139","Culture",2015-05-19,NA,NA,0.754828561860166
"140","Culture",2015-05-20,NA,NA,0.753674013071539
"141","Culture",2015-05-21,NA,NA,0.752519464282911
"142","Culture",2015-05-22,NA,NA,0.751364915494284
"143","Culture",2015-05-23,NA,NA,0.750210366705657
"144","Culture",2015-05-24,NA,NA,0.749055817917029
"145","Culture",2015-05-25,NA,NA,0.747901269128402
"146","Culture",2015-05-26,NA,NA,0.746746720339774
"147","Culture",2015-05-27,NA,NA,0.745592171551147
"148","Culture",2015-05-28,NA,NA,0.744437622762519
"149","Culture",2015-05-29,NA,NA,0.743283073973892
"150","Culture",2015-05-30,NA,NA,0.742128525185264
"151","Culture",2015-05-31,NA,NA,0.740973976396637
"152","Culture",2015-06-01,NA,NA,0.739819427608009
"153","Culture",2015-06-02,NA,NA,0.738664878819382
"154","Culture",2015-06-03,NA,NA,0.737510330030754
"155","Culture",2015-06-04,0.736355781242127,928094.774,0.736355781242127
"156","Culture",2015-06-05,NA,NA,0.738667504425098
